crm:E39,rdfs:label,owl:sameAs
richard-hamilton,"Hamilton, Richard",https://viaf.org/viaf/39397012/
joe-simon,"Simon, Joe",https://viaf.org/viaf/100271165/
jack-kirby,"Kirby, Jack",https://viaf.org/viaf/100267886/
ibrahim-muteferrika,"Muteferrika, Ibrahim",https://viaf.org/viaf/22382427/
carl-gustav-jung,"Jung, Carl Gustav",https://viaf.org/viaf/88819182/
capitol-records,Capitol Records,https://www.wikidata.org/wiki/Q193023
pictorial-parade,Pictorial Parade,
ray-anthony,"Ray, Anthony",https://viaf.org/viaf/61730867/
mario-ceroli,"Ceroli, Mario",https://viaf.org/viaf/114854641/
carl-theodor-dreyer,"Dreyer, Carl Theodor",https://viaf.org/viaf/51697917/
carol-rama,"Rama, Carol",https://viaf.org/viaf/25403266
orson-welles,"Welles, Orson",https://viaf.org/viaf/110467783/
magdalo-mussio,"Mussio, Magdalo",https://viaf.org/viaf/43126608
paolo-boringhieri,"Boringhieri, Paolo",https://viaf.org/viaf/123931135/
chiara-portesine,"Portesine, Chiara",https://viaf.org/viaf/759149196342974790203
erminio-risso,"Risso, Erminio",https://viaf.org/viaf/56790953/
elisa-sotgiu,"Sotgiu, Elisa",http://id.sbn.it/bid/SBNV092464
gianfranco-baruchello,"Baruchello, Gianfranco",https://viaf.org/viaf/255659279/
edoardo-sanguineti,"Sanguineti, Edoardo",https://viaf.org/viaf/66478877/
valerio-riva,"Riva, Valerio",https://viaf.org/viaf/63861677/
giangiacomo-feltrinelli-editore,Giangiacomo Feltrinelli Editore,https://viaf.org/viaf/52497170/
columbia-pictures,Columbia Pictures,https://www.wikidata.org/wiki/Q186941
fabrizio-serra-editore,Fabrizio Serra Editore,http://viaf.org/viaf/171553689
marca-stella,Marca Stella,https://id.gs1.org/01/8000888000750
feature-publications,Feature Publications,https://www.wikidata.org/wiki/Q3406094
renato-raho,"Raho, Renato",
