lrmoo:F2_Expression,"rdae:P20312 ""has title of expression""",lrmoo:R5_has_component,"rdae:P20001 ""has content type""","rdae:P20006 ""has language of expression""","rdae:P20338 ""has editor person""",lrmoo:R4i_is_embodied_in
gdo-e,Il Giuoco dell'Oca,regole-gioco,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-I,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-V,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-VII,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-IX,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-XXXIX,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-LXXXIII,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-LXXXIV,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-LXXXVIII,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-CII,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-CV,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-CIX,rdaco:1020,it,valerio-riva,gdo-m
gdo-e,Il Giuoco dell'Oca,chapter-CIX,rdaco:1020,it,valerio-riva,gdo-m
