lrmoo:F2,rdae:P20312,rdae:P20001,rdae:P20006,crm:P148,lrmoo:R4i
pub-portesine-e,Una specie di Biennale allargata: il giuoco dell'ecfrasi nel secondo romanzo di Edoardo Sanguineti,rdaco:1020,it,quot-1-pub-portesine-e,pub-portesine-m
pub-portesine-e,,,,quot-2-pub-portesine-e,
pub-portesine-e,,,,quot-3-pub-portesine-e,
pub-portesine-e,,,,quot-4-pub-portesine-e,
pub-portesine-e,,,,quot-5-pub-portesine-e,
pub-portesine-e,,,,quot-6-pub-portesine-e,
pub-portesine-e,,,,quot-7-pub-portesine-e,
pub-portesine-e,,,,quot-8-pub-portesine-e,
pub-risso-e,La regola del giuoco,rdaco:1020,it,quot-1-pub-risso-e,pub-risso-m
pub-risso-e,,,,quot-2-pub-risso-e,
pub-sotgiu-e,"""Il Giuoco dell’Oca"" nella trilogia di Edoardo Sanguineti",rdaco:1020,it,quot-1-pub-sotgiu-e,pub-sotgiu-m
pub-sotgiu-e,,,,quot-2-pub-sotgiu-e,
