subject,predicate,object
giuoco-marca-stella-w,rdf:type,lrmoo:F1_Work
giuoco-marca-stella-w,rdaw:P10088,Il Gioco dell'Oca Marca Stella
giuoco-marca-stella-w,rdaw:P10004,https://iconclass.org/43C531
giuoco-marca-stella-w,owl:sameAs,https://www.wikidata.org/wiki/Q1548611
giuoco-marca-stella-w,lrmoo:R3_is_realised_in,giuoco-marca-stella-e
giuoco-marca-stella-e,rdf:type,lrmoo:F2_Expression
giuoco-marca-stella-e,rdae:P20001,rdaco:1014
giuoco-marca-stella-e,rdae:P20006,it
giuoco-marca-stella-e,lrmoo:R4i_is_embodied_in,giuoco-marca-stella-m
giuoco-marca-stella-m,rdf:type,lrmoo:F3_Manifestation
giuoco-marca-stella-m,rdam:P30420,marca-stella
giuoco-marca-stella-m,rdam:P30011,1949
giuoco-marca-stella-m,rdam:P30088,milan
