Entity id,Work title,Work type,Item location,Metadata provider,Item digitized,Mining tool,Tool reported,Tool documented,Metadata format,Metadata standard,Controlled vocabulary
gdo,Il Giuoco dell'Oca,Novel,Biblioteca dell'Archiginnasio,[Catalogo del Polo Bolognese SBN](https://sol.unibo.it/SebinaOpac/resource/il-giuoco-delloca-romanzo/UBO00803295?locale=eng),❌,Manual,,,UNIMARC,[REICAT](https://www.iccu.sbn.it/it/normative-standard/normative-catalografiche/),[DDC](https://entities.oclc.org/worldcat/ddc/)
giuoco-baruchello,Il Giuoco dell'Oca di Edoardo Sanguineti,Collage,,[Artsupp](https://artsupp.com/en/artisti/gianfranco-baruchello/gioco-dell-oca)[^artsupp],✅,Manual,,,Text,,
giuoco-marca-stella,Il Giuoco dell'Oca Marca Stella,Board Game,Biblioteca Classense di Ravenna,[Imago](https://imago.sebina.it/opac/resource/giuoco-del-giro-del-mondo-giuoco-delloca/IMA00074201),✅,Manual,,,UNIMARC,[REICAT](https://www.iccu.sbn.it/it/normative-standard/normative-catalografiche/),[ICONCLASS](https://iconclass.org/)
just-what,"Just what is it that makes today's homes so different, so appealing?",Collage,Tate,[Tate](https://www.tate.org.uk/art/artworks/hamilton-just-what-was-it-that-made-yesterdays-homes-so-different-so-appealing-upgrade-p20271),✅,[API](https://www.tate.org.uk/api/v2/pages/76474/?format=json),❌,❌,JSON,[CDWA](https://www.getty.edu/publications/categories-description-works-art/)[^*],
young-romance,Young Romance,Comic Book,Jim Vadeboncoeur Jr. Collection,[Digital Comic Museum](https://digitalcomicmuseum.com/index.php?dlid=26327),✅,Manual,,,CSV,[RDA-CONSER](https://www.loc.gov/aba/pcc/conser/scctp/csr-materials.html)[^*],
vak-vak,The Vak-Vak tree,Illustration,John Carter Brown Library,[John Carter Brown Library](https://americana.jcblibrary.org/search/object/jcbcap-ljcb-1-1-207-230331/),✅,[API](https://jcb.lunaimaging.com/luna/servlet/as/search?&mid=JCB~1~1~207~230331),✅,✅,JSON,"[AACR2](http://www.aacr2.org/), [DCRMB](https://rbms.info/dcrm/dcrmb/)",[LCSH](http://id.loc.gov/authorities/subjects)
symbols-transformation,Symbols of Transformation,Monograph,Biblioteca Universitaria di Genova,[Catalogo delle Biblioteche Liguri](https://bid.catalogobibliotecheliguri.it/MIL0025027),❌,[Permalink](https://bid.catalogobibliotecheliguri.it/MIL0025027/xml),✅,,UNIMARC,[REICAT](https://www.iccu.sbn.it/it/normative-standard/normative-catalografiche/),[DDC](https://entities.oclc.org/worldcat/ddc/)
marilyn-photo,"Rooney, Monroe and Anthony",Photography,Getty Archive Photos,[Getty Images](https://www.gettyimages.it/detail/fotografie-di-cronaca/actors-mickey-rooney-and-marilyn-monroe-fotografie-di-cronaca/131651497),✅,Embed parsing,,,JSON,[IPTC](https://iptc.org/std/photometadata/specification/IPTC-PhotoMetadata)[^*],
marilyn-song,Marilyn,Song,Stanford Archive of Recorded Sound,[Stanford Digital Repository](https://purl.stanford.edu/hp730pz7495),✅,[Permalink](https://purl.stanford.edu/hp730pz7495.mods),✅,,MODS,[RDA](https://original.rdatoolkit.org/),"[FAST](https://fast.oclc.org/fast/), [LCSH](http://id.loc.gov/authorities/subjects)"
cassa-sistina,Cassa Sistina,Sculpture,Centre Pompidou,[Centre Pompidou](https://www.centrepompidou.fr/fr/ressources/oeuvre/cyn6azb),✅,[API](https://api.navigart.fr/15/artworks/150000000629589),❌,✅,JSON,[LIDO](https://cidoc.mini.icom.museum/working-groups/lido/lido-overview/about-lido/what-is-lido/)[^*],
vampyr,Vampyr,Film,British Film Institute National Archive,[British Film Institute National Archive](https://web.archive.org/web/20250107143541/https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150047864)[^bfi],❌,Manual,,,Text,[EN 15907](http://filmstandards.org/fsc/index.php/EN_15907),
occhio-degli-occhi,L'occhio degli occhi,Painting,,[Archivio Storico de La Biennale di Venezia](https://asac.labiennale.org/attivita/arti-visive/361994),❌,Embed parsing,,,JSON,[ICCD-OAC](http://www.iccd.beniculturali.it/it/ricercanormative/30/oac-opere-oggetti-d-arte-contemporanea-3_00),
lady-from-shanghai,The Lady From Shanghai,Film,National Audio-Visual Conservation Center of the Library of Congress,[American Film Institute Catalog](https://catalog.afi.com/Catalog/MovieDetails/25611),❌,Manual,,,Text,[EN 15907](http://filmstandards.org/fsc/index.php/EN_15907),
go-for-your-money,Go for your money,Animated Film,MART Archivio del '900 ,[Capti](http://www.capti.it/index.php?ParamCatID=10&IDFascicolo=799&artgal=38&key=8559&lang=EN)[^capti],✅,Manual,,,Text,[ISBD(CR)](https://www.ifla.org/wp-content/uploads/2019/05/assets/cataloguing/isbd/isbd-cr_2002.pdf)[^*],
marcatre,Marcatrè,Periodical,MART Archivio del '900 ,[Servizio unico di consultazione del Sistema Bibliotecario Trentino](https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/1eb0c6r/alma991010109029706186),✅,[API](https://strutture-provincia.primo.exlibrisgroup.com/primaws/rest/pub/sourceRecord?docId=alma991010109029706186&vid=39SBT_INST:39SBT_VU1&recordOwner=39SBT_INST&lang=en),❌,✅,MARC21,[RNA](https://www.onb.ac.at/koop-litera/standards/#RNA),"[DDC](https://entities.oclc.org/worldcat/ddc/), [NSBNCF](https://thes.bncf.firenze.sbn.it/)"
